tconst     ,orignal tittle                                            ,startYear ,averageRating ,numVotes
tt4849438  ,Baahubali 2: The Conclusion                               ,     2017 ,          8.2 ,122K
tt2631186  ,Baahubali: The Beginning                                  ,     2015 ,          8   ,144K
tt0139876  ,Baasha                                                    ,     1995 ,          8.3 ,12K
tt6514196  ,Baazaar                                                   ,     2018 ,          6.5 ,6.3K
tt0121989  ,Baazi                                                     ,     1995 ,          6.4 ,2.7K
tt0106333  ,Baazigar                                                  ,     1993 ,          7.6 ,31K
tt19838608 ,Babli Bouncer                                             ,     2022 ,          6.5 ,9.2K
tt31414473 ,Babu (No.1 Bullshit Guy)                                  ,     2024 ,          8.3 ,2K
tt6711660  ,Babumoshai Bandookbaaz                                    ,     2017 ,          6.8 ,2.6K
tt16118524 ,Baby                                                      ,     2023 ,          7.1 ,8.7K
tt3848892  ,Baby                                                      ,     2015 ,          7.9 ,62K
tt2498312  ,Bachchan                                                  ,     2013 ,          6.6 ,1.2K
tt11396290 ,Bachelor                                                  ,     2021 ,          6   ,2.2K
tt27611340 ,Bachhala Malli                                            ,     2024 ,          8.3 ,3.8K
tt1182972  ,Bachna Ae Haseeno                                         ,     2008 ,          6.2 ,13K
tt15135162 ,Back Door                                                 ,     2021 ,          7.4 ,1.7K
tt10351180 ,Bad Boy                                                   ,     2023 ,          6.6 ,8.6K
tt23220552 ,Badass Ravikumar                                          ,     2025 ,          7.4 ,8.8K
tt11306926 ,Badava Rascal                                             ,     2021 ,          7.3 ,1.7K
tt11934846 ,Badhaai Do                                                ,     2022 ,          7   ,22K
tt7725596  ,Badhaai Ho                                                ,     2018 ,          7.9 ,39K
tt8130968  ,Badla                                                     ,     2019 ,          7.7 ,32K
tt3678782  ,Badlapur                                                  ,     2015 ,          7.4 ,27K
