IMDb ID,Primary Title,Original Title,Year,IMDb Rating,IMDb Votes,Letterboxd Avg Rating,Letterboxd Rating Count,Letterboxd URL
tt15327052,,,2023,6.6,1.2K,3.01,1283,https://letterboxd.com/tmdb/875556/
tt9110340,,,2020,7.5,4.2K,3.51,2449,https://letterboxd.com/tmdb/759216/
tt13919802,,,2022,6.4,23K,2.86,1394,https://letterboxd.com/tmdb/888268/
tt2002868,,,2015,6.7,4.2K,3.08,2662,https://letterboxd.com/tmdb/262973/
tt6167894,,,2017,7.9,6.9K,3.85,6756,https://letterboxd.com/tmdb/442000/
tt0215517,,,1982,8.3,6K,3.64,1126,https://letterboxd.com/tmdb/21984/
tt4846952,,,2015,8.5,3.8K,3.68,420,https://letterboxd.com/tmdb/352165/
tt6613812,,,2018,6.7,1.3K,0,0,https://letterboxd.com/tmdb/535372/
tt8907986,,,2020,7.2,19K,3.14,4761,https://letterboxd.com/tmdb/606717/
tt3368222,,,2015,6.9,3K,3.46,1180,https://letterboxd.com/tmdb/358893/
tt8784906,,,2018,8.3,1.3K,3.49,272,https://letterboxd.com/tmdb/561118/
tt0109134,,,1994,6.6,7.5K,3.32,1671,https://letterboxd.com/tmdb/114436/
tt10717738,,,2020,7.9,9.9K,3.51,5582,https://letterboxd.com/tmdb/657593/
tt0099043,,,1990,8.2,3.2K,3.63,1286,https://letterboxd.com/tmdb/223365/
tt1922545,,,2008,8.1,2.5K,3.68,1652,https://letterboxd.com/tmdb/53883/
tt13751694,,,2023,6.1,105K,2.36,37349,https://letterboxd.com/tmdb/781732/
tt3614516,,,2013,7.9,13K,3.81,4378,https://letterboxd.com/tmdb/241882/
tt0071145,,,1974,7.8,1.8K,3.82,1760,https://letterboxd.com/tmdb/171492/
tt0139859,,,1992,7.7,2.5K,3.61,2274,https://letterboxd.com/tmdb/48757/
tt2912578,,,2013,6.5,2.3K,3.2,322,https://letterboxd.com/tmdb/211990/
tt0249361,,,1997,8,1.9K,3.48,437,https://letterboxd.com/tmdb/80798/
tt2648034,,,2013,7.5,2.6K,3.69,4930,https://letterboxd.com/tmdb/155518/
tt5838806,,,2016,7.2,1.6K,3.23,1122,https://letterboxd.com/tmdb/411053/
tt0376127,,,2005,8.3,23K,3.81,7706,https://letterboxd.com/tmdb/19978/
tt27730573,,,2023,6.9,1.1K,0,0,https://letterboxd.com/tmdb/1155112/
tt17501658,,,2022,6.5,1.6K,3.24,1569,https://letterboxd.com/tmdb/931895/
tt24803454,,,2024,8.2,1.2K,0,0,https://letterboxd.com/tmdb/1403357/
tt13528564,,,2022,7.6,9K,3.64,10382,https://letterboxd.com/tmdb/834654/
tt1359552,,,2009,7.8,1.8K,3.64,679,https://letterboxd.com/tmdb/115888/
tt13491110,,,2021,6.1,42K,2.72,1586,https://letterboxd.com/tmdb/774607/
tt21333170,,,2022,6.3,1.1K,0,0,https://letterboxd.com/tmdb/1059228/
tt27510682,,,2023,6.3,1.4K,2.94,1780,https://letterboxd.com/tmdb/1112202/
tt7336242,,,2021,6.2,1.9K,2.95,839,https://letterboxd.com/tmdb/661080/
tt9793334,,,2019,6.7,10K,3.08,2389,https://letterboxd.com/tmdb/592545/
tt0473604,,,2005,7.9,1.9K,3.68,1123,https://letterboxd.com/tmdb/80862/
tt5375324,,,2016,7.2,1.6K,3.45,1780,https://letterboxd.com/tmdb/406162/
tt27656274,,,2023,6.3,2.2K,0,0,https://letterboxd.com/tmdb/1199148/
tt0953306,,,2007,6.5,1.1K,3.27,291,https://letterboxd.com/tmdb/46370/
tt13885428,,,2024,7.4,9.9K,3.29,13313,https://letterboxd.com/tmdb/834664/
tt0048956,,,1956,8.2,17K,4.24,23981,https://letterboxd.com/tmdb/897/
tt0451631,,,2005,7.4,5.4K,3.42,616,https://letterboxd.com/tmdb/28805/
tt0096827,,,1989,8.3,4.8K,3.68,1609,https://letterboxd.com/tmdb/66365/
tt15964372,,,2022,8.8,5.5K,3.59,811,https://letterboxd.com/tmdb/896405/
tt0814014,,,2007,6.1,3.7K,3.05,698,https://letterboxd.com/tmdb/60124/
tt25434258,,,2023,6.2,2.5K,3.09,648,https://letterboxd.com/tmdb/1046688/
tt3438252,,,2013,8.2,1.4K,3.55,407,https://letterboxd.com/tmdb/269561/
tt5849148,,,2016,7.9,1.5K,3.32,772,https://letterboxd.com/tmdb/402696/
tt15575900,,,2022,7.5,1.3K,3.49,1525,https://letterboxd.com/tmdb/885272/
tt0065416,,,1969,7.6,2.1K,3.52,662,https://letterboxd.com/tmdb/96732/
tt6270936,,,2017,7.6,2K,3.33,1218,https://letterboxd.com/tmdb/450708/
tt0928194,,,2007,7.6,1.1K,3.47,810,https://letterboxd.com/tmdb/234828/
tt7557024,,,2018,7.1,1.6K,3.31,1296,https://letterboxd.com/tmdb/521854/
tt5565670,,,2016,8.3,1.8K,0,0,https://letterboxd.com/tmdb/386587/
tt7765910,,,2018,7.3,10K,3.31,3530,https://letterboxd.com/tmdb/534530/
tt9537346,,,2019,7.2,3K,0,0,https://letterboxd.com/tmdb/603552/
tt20840000,,,2022,7.4,3.9K,0,0,https://letterboxd.com/tmdb/945324/
tt0085178,,,1983,8.1,2.2K,3.75,1441,https://letterboxd.com/tmdb/103073/
tt21767274,,,2023,6.6,1.3K,0,0,https://letterboxd.com/tmdb/1145622/
